pan_id,dataproduct,ref,vea,rtn,rms,sza_left,sza_right
118,O4VIS,RefFix,-0.8,IX,"[0.0051451, 0.00641975, 0.0049, 0.0066278, 0.0049145, 0.00392565]","[28.55, 28.757, 28.964, 29.17, 29.377, 29.584]","[28.757, 28.964, 29.17, 29.377, 29.584, 29.791]"
118,O4VIS,RefFix,-0.6,IW,[],[],[]
118,O4VIS,RefFix,-0.6,IX,"[0.0044104, 0.0057585, 0.0040982, 0.00560935, 0.0043126499999999995, 0.0031132499999999997]","[28.55, 28.757, 28.964, 29.17, 29.377, 29.584]","[28.757, 28.964, 29.17, 29.377, 29.584, 29.791]"
118,O4VIS,RefFix,-0.4,IW,[],[],[]
118,O4VIS,RefFix,-0.4,IX,"[0.0034691, 0.003817, 0.0024688, 0.0040929, 0.0028813, 0.0023482499999999996]","[28.55, 28.757, 28.964, 29.17, 29.377, 29.584]","[28.757, 28.964, 29.17, 29.377, 29.584, 29.791]"
118,O4VIS,RefFix,-0.2,IW,[],[],[]
118,O4VIS,RefFix,-0.2,IX,"[0.0026603999999999994, 0.00229425, 0.0016954, 0.00274535, 0.00176505, 0.0015049999999999998]","[28.55, 28.757, 28.964, 29.17, 29.377, 29.584]","[28.757, 28.964, 29.17, 29.377, 29.584, 29.791]"
118,O4VIS,RefFix,0.0,IW,[],[],[]
118,O4VIS,RefFix,0.0,IX,"[0.0021677, 0.00158275, 0.0013152, 0.0019973499999999997, 0.0013108, 0.0011067]","[28.55, 28.757, 28.964, 29.17, 29.377, 29.584]","[28.757, 28.964, 29.17, 29.377, 29.584, 29.791]"
118,O4VIS,RefFix,0.2,IW,[],[],[]
118,O4VIS,RefFix,0.2,IX,"[0.0017821, 0.001243, 0.00102304, 0.00160855, 0.0010773999999999998, 0.000879875]","[28.55, 28.757, 28.964, 29.17, 29.377, 29.584]","[28.757, 28.964, 29.17, 29.377, 29.584, 29.791]"
118,O4VIS,RefFix,0.4,IW,[],[],[]
118,O4VIS,RefFix,0.4,IX,"[0.0015416, 0.00108465, 0.00093062, 0.00141415, 0.00094505, 0.0008087649999999999]","[28.55, 28.757, 28.964, 29.17, 29.377, 29.584]","[28.757, 28.964, 29.17, 29.377, 29.584, 29.791]"
118,O4VIS,RefFix,0.6,IW,[],[],[]
118,O4VIS,RefFix,0.6,IX,"[0.0014434, 0.00092205, 0.0008648999999999999, 0.0012584, 0.0008472999999999999, 0.000706865]","[28.55, 28.755, 28.96, 29.166, 29.371, 29.576]","[28.755, 28.96, 29.166, 29.371, 29.576, 29.781]"
118,O4VIS,RefFix,0.8,IW,[],[],[]
118,O4VIS,RefFix,0.8,IX,"[0.0012901, 0.0008696, 0.00079592, 0.0011881, 0.0007980800000000001, 0.0006929050000000001]","[28.55, 28.755, 28.96, 29.166, 29.371, 29.576]","[28.755, 28.96, 29.166, 29.371, 29.576, 29.781]"
118,O4VIS,RefFix,1.0,IW,[],[],[]
118,O4VIS,RefFix,1.0,IX,"[0.0008919199999999992, 0.0006929199999999998, 0.0007554899999999998, 0.00083152, 0.0010429999999999999, 0.004143799999999999]","[28.55, 37.954, 47.357, 56.76, 66.164, 75.568]","[37.954, 47.357, 56.76, 66.164, 75.568, 84.971]"
118,O4VIS,RefFix,1.2,IW,[],[],[]
118,O4VIS,RefFix,1.2,IX,"[0.0011803, 0.000804825, 0.00077588, 0.001038, 0.000766775, 0.0006460649999999999]","[28.55, 28.755, 28.96, 29.166, 29.371, 29.576]","[28.755, 28.96, 29.166, 29.371, 29.576, 29.781]"
118,O4VIS,RefFix,1.4,IW,[],[],[]
